AnnoA;ClasseNUMERO;ClasseNOME;SESSO;Isc
2020/2021;1;Biotecnologie;F;68
2020/2021;1;Biotecnologie;M;30
2020/2021;01/S;Specialistiche in antropologia culturale ed etnologia;F;9
2020/2021;01/S;Specialistiche in antropologia culturale ed etnologia;M;1
2020/2021;2;Scienze dei servizi giuridici;F;113
2020/2021;2;Scienze dei servizi giuridici;M;97
2020/2021;02/S;Specialistiche in archeologia;F;10
2020/2021;02/S;Specialistiche in archeologia;M;3
2020/2021;3;Scienze della mediazione linguistica;F;138
2020/2021;3;Scienze della mediazione linguistica;M;29
2020/2021;03/S;Specialistiche in architettura del paesaggio;F;3
2020/2021;03/S;Specialistiche in architettura del paesaggio;M;1
2020/2021;4;Scienze dell'architettura e dell'ingegneria edile;F;165
2020/2021;4;Scienze dell'architettura e dell'ingegneria edile;M;169
2020/2021;04/S;Specialistiche in architettura e ingegneria edile;F;18
2020/2021;04/S;Specialistiche in architettura e ingegneria edile;M;28
2020/2021;04/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;F;576
2020/2021;04/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;M;450
2020/2021;5;Lettere;F;414
2020/2021;5;Lettere;M;117
2020/2021;05/S;Specialistiche in archivistica e biblioteconomia;F;3
2020/2021;05/S;Specialistiche in archivistica e biblioteconomia;M;1
2020/2021;6;Scienze del servizio sociale;F;149
2020/2021;6;Scienze del servizio sociale;M;12
2020/2021;06/S;Specialistiche in biologia;F;15
2020/2021;06/S;Specialistiche in biologia;M;8
2020/2021;7;Urbanistica e scienze della pianificazione territoriale e ambientale;F;13
2020/2021;7;Urbanistica e scienze della pianificazione territoriale e ambientale;M;24
2020/2021;8;Ingegneria civile e ambientale;F;151
2020/2021;8;Ingegneria civile e ambientale;M;309
2020/2021;08/S;Specialistiche in biotecnologie industriali;F;3
2020/2021;9;Ingegneria dell'informazione;F;106
2020/2021;9;Ingegneria dell'informazione;M;621
2020/2021;09/S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;F;2
2020/2021;09/S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;M;1
2020/2021;10;Ingegneria industriale;F;143
2020/2021;10;Ingegneria industriale;M;690
2020/2021;100/S;Specialistiche in tecniche e metodi per la societa dell'informazione;F;1
2020/2021;100/S;Specialistiche in tecniche e metodi per la societa dell'informazione;M;2
2020/2021;101/S;Specialistiche in teoria della comunicazione;F;5
2020/2021;102/S;Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica;M;1
2020/2021;103/S;Specialistiche in teorie e metodi del disegno industriale;F;2
2020/2021;103/S;Specialistiche in teorie e metodi del disegno industriale;M;3
